rank,action_id,action_date,dismiss_reason,dismissal_note,asin,amazon_title,amazon_system,ebay_item_id,ebay_title,ebay_condition,ebay_category,ebay_category_ids,seller_username,detected_ebay_platform,game_name,region_code,format,type,features,release_year,stored_recommendation,current_recommendation,current_hard_blocks,current_warnings,pattern,rule_miss_class,evidence_dependency,opportunity_id,candidate_id,snapshot_id
853,c0bc9bce-37a3-498f-a612-8a13f8851d0e,2026-07-11T22:20:52.823144+00:00,wrong_platform,,B0042YM9GI,Michael Jackson: The Experience [video game],,v1|143369143921|0,"Michael Jackson: The Experience (Sony PlayStation 3, 2011)",Brand New,Video Games; Video Games & Consoles,139973; 1249,ronniep850,PS 3,Michael Jackson: The Experience,,,,,,Probable Match,Probable Match,,,wrong_platform,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,03a69206-459e-4930-bd0f-a40b33988401,beb14fbf-c99c-4f7f-82e0-f9a8dc3ad68b,e2c161ad-94cf-472b-8007-521dc33097e4
854,44c95621-541a-443c-aa4f-5d5417d0a96f,2026-07-11T22:19:12.571543+00:00,missing_shrink_wrap,,B07KX13568,Hello Neighbor Nintendo Switch [video game],,v1|298307056669|0,Hello Neighbor - Nintendo Switch ,Brand New,Video Games; Video Games & Consoles,139973; 1249,mic-882588,Switch,,,,,,,Probable Match,Probable Match,,,missing_shrink_wrap,evidence exists only in images,image_or_operator_visual_review,254a76ca-68c5-4c23-93cb-fd942877cdc7,66c48583-1611-4f11-9ced-6a2087c2cd64,8c5336a6-0186-469a-b848-a2891d13623d
855,924526ab-6145-4200-99c9-cf336b3a0fe7,2026-07-11T22:16:15.473572+00:00,packaging_damage,,B00D8S4GRY,Just Dance 2014 - PlayStation 4 [video game],,v1|117204189697|0,"Ubisoft Just Dance 2014 Sony PlayStation 4 Multiplayer Dance Music, E10+, 2013",Brand New,Video Games; Video Games & Consoles,139973; 1249,janet.bel,PS 4,,,,,,,Probable Match,Probable Match,,,packaging_damage,evidence exists only in images,image_or_operator_visual_review,aaafb2eb-acad-47ba-a1d0-66f33f63bc84,62e96884-2f75-4abe-9bfc-350145b05e86,f6bdb340-68f9-4df6-bdd3-c4b49dfacb75
856,3f965f7f-3932-4c43-b310-881ef709b02b,2026-07-11T22:15:34.14357+00:00,missing_shrink_wrap,,B08H9KGMWK,Mario Kart Live: Home Circuit -Mario Set - Nintendo Switch,,v1|127937083763|0,Mario Kart Live: Home Circuit -Mario Set - Nintendo Switch,Brand New,Video Games; Video Games & Consoles,139973; 1249,gwiyomiroll-chan2026,Switch,,,,,,,Probable Match,Probable Match,,,missing_shrink_wrap,evidence exists only in images,image_or_operator_visual_review,3df4ff2b-8e1c-4cb7-890a-3123331e7516,e5bead7f-393f-4209-a084-1805ebac8717,4eefc643-4585-4f6d-88e2-9c176d30d170
857,a64f4190-e436-423a-93fc-796cdd032577,2026-07-11T22:15:19.763235+00:00,missing_shrink_wrap,,B00KL4PNWA,Alien: Isolation - Nostromo Edition (Xbox One) [video game],,v1|398074268052|0,Alien Isolation Nostromo Edition - XBOX ONE Complete CIB hurry before it’s gone!,Brand New,Video Games; Video Games & Consoles,139973; 1249,glitchcollectiblesx,Xbox One,Alien Isolation,United States,,,,,Probable Match,Probable Match,,,missing_shrink_wrap,evidence exists only in images,image_or_operator_visual_review,5f01148c-04aa-4359-936b-710abb516acb,14405bd7-ee77-4f7d-b2a6-962962499e2e,4f979a46-e580-4324-8e1d-b28c35900c31
858,369a4ebd-ae22-45fc-b233-5f68f1967fbd,2026-07-11T22:15:09.173624+00:00,wrong_platform,,B000R3BN42,Thrillville: Off the Rails [video game],,v1|257594547408|0,"Brand NEW Sealed Thrillville: Off the Rails Games for Windows (PC CD, 2007)",Brand New,Video Games; Video Games & Consoles,139973; 1249,cupoftees,PC,,,,,,,Probable Match,Probable Match,,,wrong_platform,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,8da0fe27-4c21-4236-84f8-24587411174f,bf234775-232c-4c74-9fa2-41c54c1ed702,0bf82b61-1718-497d-b1aa-f5c42ca2c622
859,4d3739f8-4aa6-4ee6-983f-18fb91541bc5,2026-07-11T22:15:08.829491+00:00,wrong_platform,,B000R3BN42,Thrillville: Off the Rails [video game],,v1|286634093835|0,"Thrillville Off the Rails PC DVD New, Sealed English/French",Brand New,Video Games; Video Games & Consoles,139973; 1249,arianne2.0,PC,,,,,,,Probable Match,Blocked,non-US item location,,wrong_platform,current rule should already block,title_plus_item_specifics_or_category,218242d9-a3a2-4e2e-969e-655ed0c1ab38,76eb1f7e-5a87-45ae-a1e1-aea4ab1234a7,0f007fb5-e8a4-4927-9541-3dfb323711cb
860,b1312943-3b55-4e9f-9de8-aced071e8f83,2026-07-11T22:15:08.418594+00:00,wrong_platform,,B000R3BN42,Thrillville: Off the Rails [video game],,v1|167929779450|0,Video Game PC Thrillville Off the Rails Lucasarts NEW SEALED Jewel,Brand New,Video Games; Video Games & Consoles,139973; 1249,regalsurplus,PC,,,,,,,Probable Match,Probable Match,,,wrong_platform,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,8fd2fd8b-4182-47fa-a60a-341a04b46437,37ce9e6b-3cb3-4bd2-8bf3-2d33fa043bb3,1c07189e-65f8-4247-8499-2c54a613fd70
861,0fc1eded-0ee5-4c28-b39a-7eb78da21364,2026-07-11T22:14:49.919686+00:00,wrong_edition_version,,B07DF43L23,Starlink Battle for Atlas - Nintendo Switch Starter Edition [video game],,v1|206043701039|0,BRAND NEW! Starlink Battle for Atlas - Starter Edition  Nintendo Switch.,Brand New,Video Games; Video Games & Consoles,139973; 1249,gamer_girl_games,Switch,Starlink: Battle for Atlas,Region Free,,,Multiplayer,2018,Probable Match,Probable Match,,,unclear/insufficient evidence,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,b11f6ebf-e912-4981-93a2-80b94036f150,4ece038f-b75d-4180-ba5f-e69999a53563,6b241d07-3602-45a4-a5f8-391d8d4804fa
862,f7945a62-0779-4fba-a93d-795aef11c59c,2026-07-11T22:14:45.281412+00:00,non_north_american_version,,B09ZZ9L123,Gotham Knights Deluxe Edition – PlayStation 5 [video game],,v1|298426417413|0,Gotham Knights Deluxe Edition (Sony Playstation 5) New Factory Sealed,Brand New,Video Games; Video Games & Consoles,139973; 1249,goldenworldshop,PS 5,,,,,,,Probable Match,Probable Match,,,non_north_american_version,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,86fde9a2-f3c3-47a7-9bbe-3027d2987f69,437c4879-fb83-4897-9507-588befb86569,cf605f49-3877-4bd4-89b7-ad1b19da2279
863,ccc3fb03-2e74-4f84-b54f-33ddfe5b0246,2026-07-11T22:14:34.520057+00:00,wrong_platform,,B09MZQ84SR,GRID Legends (PS5),,v1|398129605801|0,New Grid Legends - PlayStation 5 Standard Edition New Factory Sealed,Brand New,Video Games; Video Games & Consoles,139973; 1249,welcometobetterbuywholesalellc,PS 5,Grid Legends,,,,,2022,Probable Match,Probable Match,,,wrong_platform,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,9f38c953-9c9d-467e-a399-16bde4f6dbdb,c2457c95-cc6a-40ec-ba6b-0a30da68fb77,5b60bedf-eb22-4621-af62-4b09e56402f1
864,5232c0aa-884b-42cd-b823-5bd185dc87ee,2026-07-11T22:13:15.324116+00:00,packaging_damage,,B075QWP3N3,Zoo Tycoon: Ultimate Animal Collection - Xbox One [video game],,v1|377230709240|0,Zoo Tycoon Ultimate Animal Collection Xbox One (BRAND NEW + SEALED),Brand New,Video Games; Video Games & Consoles,139973; 1249,zen_quests,Xbox One,,,,,,,Probable Match,Probable Match,,,packaging_damage,evidence exists only in images,image_or_operator_visual_review,ffd5ca82-c4ab-4ff2-81ee-d88e7ea2489c,7e5a9950-3798-4062-acf7-5d6792e46415,fc27a8e2-350a-4168-bba6-08ca04d93053
865,cbc912b9-b065-4291-a9b1-d033c0534533,2026-07-11T22:10:21.28702+00:00,missing_shrink_wrap,,B097F4G6WB,Super Monkey Ball Banana Mania: Anniversary Launch Edition - Nintendo Switch [video game],,v1|800033952573|0,Super Monkey Ball Banana Mania ANNIVERSARY LAUNCH EDITION - Nintendo Switch,Brand New,Video Games; Video Games & Consoles,139973; 1249,franktarantino-24,Switch,Super Monkey Ball Banana Mania Anniversary Launch Edition,Japan,,,Multiplayer,2021,Probable Match,Probable Match,,,missing_shrink_wrap,evidence exists only in images,image_or_operator_visual_review,2b198716-8b20-48dc-86de-49f96a0e28b6,0b2b5b00-a760-4f71-a9ce-b07d5385da0e,66a462bd-5f36-46eb-b6b7-6749b742eec3
866,6beda5c7-98bf-4218-aff6-4a65104f8d3e,2026-07-11T22:07:04.52865+00:00,wrong_edition_version,,B00VMB5RDQ,LEGO Dimensions Starter Pack - Xbox One [video game],,v1|137429651776|0,LEGO Dimensions Software Only Xbox One Brand New - Sealed Game Only READ,Brand New,Video Games; Video Games & Consoles,139973; 1249,pressstartgames15,Xbox One,,,,,,,Probable Match,Probable Match,,,bundled content difference,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,69eda2ce-cf8c-4eda-b50a-4411c917d55e,42d531da-1c9c-4824-a642-02a96f26b5c1,4dfd6842-b47f-450d-8cf3-e82d3301a92b
867,f9811315-6598-4bac-810b-549ff080dd7f,2026-07-11T22:07:04.05711+00:00,wrong_edition_version,,B00VMB5RDQ,LEGO Dimensions Starter Pack - Xbox One [video game],,v1|365002404398|0,LEGO Dimensions (Microsoft Xbox One),Brand New,Video Games; Video Games & Consoles,139973; 1249,awesome_deals4less,Xbox One,,,,,,,Probable Match,Probable Match,,,bundled content difference,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,0d636e7d-30c1-4c38-9145-ccbb2c3e4873,1c094faf-1cc1-4c48-8265-52c689f8ba31,ea7205ca-34c1-4f33-8b73-142b7ba80350
868,3e9e4e1c-e933-4d80-91de-90fd3ef14e11,2026-07-11T22:06:44.663655+00:00,non_north_american_version,,B09FCXXGT5,Big Brain Academy: Brain vs. Brain - Nintendo Switch [video game],,v1|334974508764|0,Big Brain Academy Brain vs Brain Nintendo Switch - ***NEW FACTORY SEALED***,Brand New,Video Games; Video Games & Consoles,139973; 1249,sureshotgames,Switch,,,,,,,Probable Match,Probable Match,,,non_north_american_version,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,2864ad64-d136-4a31-8096-9a4ce6c6120f,b70cd36b-6d32-47f1-b7d0-5a36dfd7c101,ba33d173-0c79-4f72-ac56-e3053a2bcf68
869,05022f5e-3a53-465b-a0ec-d0ccae8a5f36,2026-07-11T22:06:29.123053+00:00,missing_shrink_wrap,,B00CMQTTZ2,Quantum Break – Xbox One [video game],,v1|389686196581|0,Quantum Break Xbox One Complete CIB,Brand New,Video Games; Video Games & Consoles,139973; 1249,ranger_turtle_den,Xbox One,,,,,,,Probable Match,Blocked,non-US item location,,missing_shrink_wrap,current rule should already block,image_or_operator_visual_review,8d8b79c9-00c6-433c-9ae6-1a696560357e,864697cb-d42e-4d31-939b-1d0218c1f611,190d2ecd-131f-4405-8a53-4fa99c4c891e
870,a2fac283-19ce-4c90-9934-385b8c0d5937,2026-07-11T14:38:06.194502+00:00,wrong_platform,,B00D3RBZHY,Need for Speed: Rivals [video game],,v1|392231593664|0,Need for Speed: Rivals XBOX ONE NEW FACTORY SEALED RACING GAME,Brand New,Video Games; Video Games & Consoles,139973; 1249,italia11283,Xbox One,,,,,,,Blocked,Blocked,"platform mismatch: Amazon PS 4, eBay Xbox One",,wrong_platform,current rule should already block,title_plus_item_specifics_or_category,553e0cf8-85c2-4352-aabe-443661554093,55a17bc9-c0e0-4583-a2b4-7b8abddbd113,aa6cd8ea-5652-4248-a33d-5cd213c06de5
871,9cc52207-adbe-4810-807e-d991198dd4a9,2026-07-11T14:38:05.880277+00:00,wrong_platform,,B00D3RBZHY,Need for Speed: Rivals [video game],,v1|389944472650|0,"Need for Speed: Rivals (Sony PlayStation 3, 2013) BRAND NEW SEALED!",Brand New,Video Games; Video Games & Consoles,139973; 1249,kerbs_gaming,PS 3,,,,,,,Blocked,Blocked,"platform mismatch: Amazon PS 4, eBay PS 3; non-US item location",,wrong_platform,current rule should already block,title_plus_item_specifics_or_category,c59f308f-572b-4bd1-8180-13ff0dcb603f,9baa02db-20c5-4c2b-9115-b60238fdd03f,8985b884-eb97-456b-bb53-7c5ea5459365
872,a7aaddbe-1d82-400c-8f30-9870c06aba50,2026-07-11T14:38:05.573684+00:00,wrong_platform,,B00D3RBZHY,Need for Speed: Rivals [video game],,v1|376031731822|0,Need for Speed Rivals - Sony PlayStation 3 (NEW/Sealed) Ships Fast! (See Below!),Brand New,Video Games; Video Games & Consoles,139973; 1249,countryjace,PS 3,,,,,,,Blocked,Blocked,"platform mismatch: Amazon PS 4, eBay PS 3",,wrong_platform,current rule should already block,title_plus_item_specifics_or_category,122f7361-bd57-41b3-8214-6fe7f89e9a8d,d63364f7-18e0-4859-91a0-e0975b1df6e4,bc1d3bd2-2a28-4479-b7c9-e95381ee1911
873,f2f86c56-1c0c-4106-88d6-1f5f3025fb61,2026-07-11T14:38:05.22902+00:00,wrong_platform,,B00D3RBZHY,Need for Speed: Rivals [video game],,v1|203013453446|0,Need for Speed Rivals (PC DVD),Brand New,Video Games; Video Games & Consoles,139973; 1249,ottochain,PC,,,,,,,Blocked,Blocked,"platform mismatch: Amazon PS 4, eBay PC",,wrong_platform,current rule should already block,title_plus_item_specifics_or_category,46d13742-71c8-4862-967d-a2edf178b7d6,06b316d4-c484-4e80-8c94-08bdcf5c08e2,5741e1d1-b8e3-4480-ae0f-20df81d938a5
874,ec201cc4-88e2-4a06-84af-f012cb8522bb,2026-07-11T14:38:04.860568+00:00,wrong_platform,,B00D3RBZHY,Need for Speed: Rivals [video game],,v1|196679664918|0,Need for Speed Rivals - Xbox One X-Box 1 - New Sealed,Brand New,Video Games; Video Games & Consoles,139973; 1249,tgwgrandville,Xbox One,,,,,,,Blocked,Blocked,"platform mismatch: Amazon PS 4, eBay Xbox One",,wrong_platform,current rule should already block,title_plus_item_specifics_or_category,2f62c276-694a-45a2-8949-8d1f1287252a,76e4fea0-428e-4f2d-817e-3d08e47768f4,746e9145-a64d-4a3d-9f29-320910c89619
875,c987acdb-6ac5-4deb-b586-121b8ec3224b,2026-07-11T14:38:04.47616+00:00,wrong_platform,,B00D3RBZHY,Need for Speed: Rivals [video game],,v1|386052227031|0,Xbox One - Need for Speed Rivals - Brand New - FREE SHIPPING - ,Brand New,Video Games & Consoles; Video Games,139973,overflo6,Xbox One,Need for Speed Rivals,NTSC-U/C (US/Canada),,,"Complete Edition, Multiplayer, Online Playability",2020,Blocked,Blocked,"platform mismatch: Amazon PS 4, eBay Xbox One",,wrong_platform,current rule should already block,title_plus_item_specifics_or_category,ab31f979-54c5-4e0f-a4a2-d3b710440b5a,dc040e53-af5f-453c-afe3-e68d77f2555e,20e71cf6-3336-4597-a024-ff871b0605cb
876,473b7c20-1c77-48fc-a588-d45474d22dc8,2026-07-11T14:37:48.497692+00:00,digital_item,,B086BTBPQM,Borderlands Legendary Collection [video game],,v1|136566282355|0,✨✨Borderlands 4 | Modded Plasmacoil SMG 251 Million DPS |PC|Xbox|PS|✨✨,Brand New,Video Games; Video Games & Consoles,139973; 1249,digitaldealsandbeyond,"Xbox, PC",,,,,,,Blocked,Blocked,digital/download listing: modded,,digital_item,current rule should already block,title_only,ac1a3db0-c4d3-4522-a4a8-b88c771564c2,6dfcbd7f-73a7-4845-8f4d-d71275eb2277,3dcf1e0c-92ca-4e88-9f71-924f24235844
877,29502cb1-8f91-440d-b356-a7396ccb649d,2026-07-11T14:37:48.202816+00:00,digital_item,,B086BTBPQM,Borderlands Legendary Collection [video game],,v1|297621524714|0,Borderlands 4 All 100% Max Backpack SDU Inventory Upgrades XBOX PS5 PC SWITCH,Brand New,Video Games; Video Games & Consoles,139973; 1249,thexboxplug,"Switch, Xbox, PS 5, PC",,,,,,,Blocked,Blocked,accessory/not game: backpack,,digital_item,current rule should already block,title_only,ef4ab3a4-b2e2-4caf-a9c8-9248ac2a79c3,3bccfb43-c90d-40a8-9e3f-062a640fa91b,7a1c5ee7-6db5-43c7-8e69-e4b8a8ff0b74
878,899030de-ec73-4912-91af-cca262e49f61,2026-07-11T14:37:47.879585+00:00,digital_item,,B086BTBPQM,Borderlands Legendary Collection [video game],,v1|297622266868|0,Borderlands 4 Max Cash 2 Billion Eridium + Money Drop XBOX X/S PS5 PC SWITCH,Brand New,Video Games; Video Games & Consoles,139973; 1249,thexboxplug,"Switch, Xbox, PS 5, PC",,,,,,,Blocked,Blocked,"digital/download listing: eridium, max cash",,digital_item,current rule should already block,title_only,b03b99a6-04fc-404d-907e-079fc8cc33e4,7195f92f-e446-4eaf-a445-47f48d7382dc,3b64cb1c-bbe7-4953-85c8-bc5f2afcc406
879,14493946-fa99-44f8-bbd1-2b3ca9877111,2026-07-11T14:37:47.583771+00:00,digital_item,,B086BTBPQM,Borderlands Legendary Collection [video game],,v1|297627895099|594996726626,Borderlands 4 Custom Request Level 60 Max SDU Eridium Cash XBOX PS5 PC SWITCH,Brand New,Video Games; Video Games & Consoles,139973; 1249,thexboxplug,"Switch, Xbox, PS 5, PC",,,,,,,Blocked,Blocked,digital/download listing: eridium,,digital_item,current rule should already block,title_only,b0af6d59-9b43-4b06-a5a0-e612fcc2549b,62887692-365b-4def-b42b-0180225b1b5b,dbfc2012-9f98-4805-a9d6-a4706eb9e739
880,38ada291-e5d7-4424-b52f-914654afa1a5,2026-07-11T14:37:47.251145+00:00,digital_item,,B086BTBPQM,Borderlands Legendary Collection [video game],,v1|357643592337|0,Borderlands 4 🎉 Full SDU+ max Levels +Money + Eridium + vault card + max spec,Brand New,Video Games; Video Games & Consoles,139973; 1249,bensavesalot,,,,,,,,Blocked,Blocked,"digital/download listing: eridium, vault card",,digital_item,current rule should already block,title_only,4b7f72e4-05ae-48e2-ab8c-07b0abd7875f,17fe0039-3b1f-48c0-8f90-ed4e932c2a6c,890cc9a5-3782-4ade-9655-01f35e12a684
881,03b6128f-b09c-4160-a958-e829025e4ac0,2026-07-11T14:37:46.932532+00:00,digital_item,,B086BTBPQM,Borderlands Legendary Collection [video game],,v1|365905196267|0,🔥Borderlands 4 Burt's Bees | LVL 60 | FLAME | Torgue Sticky | ENDGAME DESTROYER,Brand New,Video Games; Video Games & Consoles,139973; 1249,dopedropz,,,,,,,,Probable Match,Probable Match,,,digital_item,no current deterministic rule covers pattern,title_plus_item_specifics_or_category,07ff43ec-6ece-4c6d-a2a2-a7e95ff2c741,06bd2738-cfc0-40bf-a3cc-993799e39eaf,d244ead1-f5ab-43b6-8645-4995f0d8d762
882,bdac5bb6-3fe6-4022-b021-42376a131569,2026-07-11T14:37:46.547756+00:00,digital_item,,B086BTBPQM,Borderlands Legendary Collection [video game],,v1|136525304961|435263011560,✨Borderlands 4 Max Level Full SDU Max Money/Eridium Legendary Gear Pick-Up✨,Brand New,Video Games; Video Games & Consoles,139973; 1249,digitaldealsandbeyond,,,,,,,,Blocked,Blocked,digital/download listing: eridium; numeric sequel/year mismatch,,digital_item,current rule should already block,title_only,3fd7101e-6e8d-4300-b858-bfd7e325a021,8a9cd621-b84a-4ce3-9087-ad7d93a97ac6,c470cd5d-bcfb-46a1-9702-4bb46b002108
883,b46ae05a-1533-4f14-b300-dc974672f68a,2026-07-11T14:37:46.233602+00:00,digital_item,,B086BTBPQM,Borderlands Legendary Collection [video game],,v1|227069551071|0,Borderlands 4 | Modded Vending Machine Full of Legendary Weapons | for 5 minutes,Brand New,Video Games; Video Games & Consoles,139973; 1249,borderlandsm,,,,,,,,Blocked,Blocked,digital/download listing: modded; numeric sequel/year mismatch,,digital_item,current rule should already block,title_only,71259ffa-9fd7-44eb-b373-cb2e703a830d,ad09cf19-ff23-4ed1-9036-26e378f42775,c64424fc-7f30-45a6-8b67-b2f3fabc04d6
884,e62caaa0-c69f-4f2c-8c0e-b37d89881784,2026-07-11T14:37:45.883878+00:00,digital_item,,B086BTBPQM,Borderlands Legendary Collection [video game],,v1|255323610524|0,Switch • Borderlands Legendary Collection • GOTY Item Drop • 20 Mod Pack,Brand New,Video Games; Video Games & Consoles,139973; 1249,creatorshangout,Switch,,,,,,,Blocked,Blocked,digital/download listing: item drop; numeric sequel/year mismatch,,digital_item,current rule should already block,title_only,00d6c970-a1a4-451d-b19d-5d6d1fdcae0d,8f9d42f0-ef75-4ff6-8abd-2503e1105c32,3a04106b-8efc-4951-afac-1cb3a4151281
885,4f1e76d1-6d67-4e71-b66d-52ec81568c82,2026-07-11T14:37:29.56282+00:00,packaging_damage,,B003RS8I92,Rock Band 3 [video game],,v1|358618375983|0,Rock Band - Sony PlayStation 3,Brand New,Video Games; Video Games & Consoles,139973; 1249,tamsol_87,PS 3,Rock Band,,,,,,Probable Match,Probable Match,,,packaging_damage,evidence exists only in images,image_or_operator_visual_review,959b2a95-5569-4bf6-aea0-902067d62e6a,385cb277-e09d-4947-aa7f-fefd559240a5,5cc173a9-dd8e-43c7-9d78-ff8a8cb5607a
886,67d2094f-c8ef-4d14-aa18-8e9193c95c47,2026-07-11T14:37:06.736782+00:00,wrong_product,,B003RS8I92,Rock Band 3 [video game],,v1|336462459007|0,New Set (2)  Rock Band Drum Sticks Wii PlayStation XBOX PS3 PS4 Rockband Drums ,New,Controllers & Attachments; Video Games & Consoles; Video Game Accessories,117042; 1249; 54968,grannysellsthebeststuff,"Xbox, Wii, PS 4, PS 3",,,,,,,Blocked,Blocked,eBay category is not Video Games software; numeric sequel/year mismatch,,wrong numbered installment,current rule should already block,title_only,425d4c59-b741-4acb-8488-cb4f90d55735,b944142c-280c-4f20-a52d-5bead35cb32b,f1d22276-6a3d-44e3-9087-18e64bcc27be
887,f382f6dd-9d4c-4be4-9ea8-70cfb1998f94,2026-07-11T14:37:06.439569+00:00,wrong_product,,B003RS8I92,Rock Band 3 [video game],,v1|401346500919|0,NEW Rock Band 4 3 2 1 DOUBLE DRUM PEDAL CABLE splitter XBox 1/360 PS4 PS3 Wii-U,New,Controllers & Attachments; Video Games & Consoles; Video Game Accessories,117042; 1249; 54968,loothive,"Xbox 360, Wii, PS 4, PS 3",,,,,,,Blocked,Blocked,"accessory/not game: cable, pedal; eBay category is not Video Games software",,controller/peripheral,current rule should already block,title_only,de7fead8-376d-4550-a72f-0bbd8a8dbb9b,12930714-fc85-4b19-bf41-3e4e29a08043,d66ddd95-ed02-49a6-8478-0a17a6245455
888,a9329274-3e8d-4fdc-af93-a7f304d4f333,2026-07-11T14:37:06.148063+00:00,wrong_product,,B003RS8I92,Rock Band 3 [video game],,v1|389523628336|0,Rock Band Battery Cover RockBand 2 3 4 Fender Stratocaster Guitar Wireless Drums,New,Controllers & Attachments; Video Games & Consoles; Video Game Accessories,117042; 1249; 54968,gamestars1,,,,,,,,Blocked,Blocked,accessory/not game: battery cover; eBay category is not Video Games software,,controller/peripheral,current rule should already block,title_only,653739d3-5630-4056-910d-012e91ff60a7,03be0465-40df-4c1b-838f-48fdbd89bb43,d51177a9-3046-4e46-8764-9f6e58436a67
889,92ad504c-b8dc-4fff-8499-c38fc47e616b,2026-07-11T14:37:05.856054+00:00,wrong_product,,B003RS8I92,Rock Band 3 [video game],,v1|331842039259|0,Rock Band Replacement Drum Sticks Set For Wii PS2 PS3 PS4 Xbox 360 9825,New,Controllers & Attachments; Video Games & Consoles; Video Game Accessories,117042; 1249; 54968,brokenbargains,"Xbox 360, Wii, PS 4, PS 3, PS 2",,,,,,,Blocked,Blocked,eBay category is not Video Games software,,controller/peripheral,current rule should already block,title_plus_item_specifics_or_category,32ac8786-8fbf-448a-9735-a29e85b139d8,25bf38d3-de4c-44cc-bc4e-fa781dd24b5c,0723a85a-c6d9-4d00-8104-3a757249a48c
890,8000be08-6691-4027-b470-b2530d9c5ab3,2026-07-11T14:37:05.565008+00:00,wrong_product,,B003RS8I92,Rock Band 3 [video game],,v1|284491204451|0, Guitar Hero Rock Band Shoulder Strap Belt Xbox 360 One PS2 PS3 PS4 PS5 Rockband,New,Controllers & Attachments; Video Games & Consoles; Video Game Accessories,117042; 1249; 54968,obscureparts_outlet,"Xbox 360, PS 5, PS 4, PS 3, PS 2",,,,,,,Blocked,Blocked,eBay category is not Video Games software,,title ambiguity from a short/generic game name,current rule should already block,title_plus_item_specifics_or_category,9af19e60-cb94-4fed-99bb-654ba157f5ae,84ddc689-d220-455e-a1f6-1a8d984f39ec,f3ff063b-a2b2-4233-ad16-1a90cf2be85b
891,af57ab80-a10a-4cbc-a44d-fdf81b527689,2026-07-11T14:37:05.265388+00:00,wrong_product,,B001ABP9B8,Guitar Hero World Tour [video game],,v1|177200655196|0,NEW Guitar Hero World Tour Drum PEDAL Cable Wire Cord WII/PS3/PS2/XBOX 360,New,Controllers & Attachments; Video Games & Consoles; Video Game Accessories,117042; 1249; 54968,insassy,"Xbox 360, Wii, PS 3, PS 2",,,,,,,Blocked,Blocked,"accessory/not game: cable, pedal; eBay category is not Video Games software",,controller/peripheral,current rule should already block,title_only,1c1affe7-456f-4823-9aa1-315a7cc4da53,bfb9607f-a8f6-49da-9109-a098081805ba,2c547d1a-fe2c-4f22-ad6b-4a5f5d3b4b49
892,a5769093-315c-4951-a58a-59007592fded,2026-07-11T14:37:04.951438+00:00,wrong_product,,B001ABP9B8,Guitar Hero World Tour [video game],,v1|331687568838|0,NEW Band/Guitar Hero 5/World Tour FACEPLATE for Nintendo Wii BATTLED Wood skin,New,"Faceplates, Decals & Stickers; Video Games & Consoles; Video Game Accessories",171668; 1249; 54968,loothive,Wii,,,,,,,Blocked,Blocked,digital/download listing: skin; accessory/not game: faceplate; eBay category is not Video Games software; numeric sequel/year mismatch,,digital code/DLC/account/service,current rule should already block,title_only,64bbbd87-9e5f-4a7e-a979-9cf913781c2c,81582a24-f966-4908-886b-1eae7a7ef9bb,dc5a8999-21bd-48f8-ad7b-1f0c75f93fc3
893,5ee2375a-9cf7-4c7d-874f-dc8b100faf95,2026-07-11T14:37:04.646736+00:00,wrong_product,,B001ABP9B8,Guitar Hero World Tour [video game],,v1|331689300486|0,NEW Band/Guitar Hero 5/World Tour FACEPLATE Nintendo Wii PINK GIRL Replacement,New,"Faceplates, Decals & Stickers; Video Games & Consoles; Video Game Accessories",171668; 1249; 54968,loothive,Wii,,,,,,,Blocked,Blocked,accessory/not game: faceplate; eBay category is not Video Games software; numeric sequel/year mismatch,,accessory,current rule should already block,title_only,ce28be72-32e8-46d8-8773-add01433b4ba,c56100c0-b804-4b53-88af-81508059fc43,d8f7386d-2fc6-49ae-919a-3be5ff70b078
894,f46f16d5-bd73-4c12-8f03-187cbfa4f20a,2026-07-11T14:37:04.309278+00:00,wrong_product,,B001ABP9B8,Guitar Hero World Tour [video game],,v1|361839215779|0,NEW Band/Guitar Hero 5/World Tour FACEPLATE for Nintendo Wii MILITIA replacement,New,"Faceplates, Decals & Stickers; Video Games & Consoles; Video Game Accessories",171668; 1249; 54968,loothive,Wii,,,,,,,Blocked,Blocked,accessory/not game: faceplate; eBay category is not Video Games software; numeric sequel/year mismatch,,accessory,current rule should already block,title_only,8e56d9e3-8a05-4812-8b43-5ee5cebf42f7,e9609f61-05ff-48f7-bc6f-e44316b82cb1,34ca8e28-10e3-4a3d-9e12-744934ff9de2
